x,y,z,parity
1.18,-0.47,1.99,2.00
0.46,0.22,-1.45,1.00
-3.50,-0.86,-4.79,1.00
1.04,-0.00,-4.22,1.00
2.87,-0.55,1.31,2.00
-1.56,1.95,1.24,2.00
0.27,0.05,2.05,2.00
0.40,0.29,3.19,2.00
0.22,0.61,-1.43,1.00
0.06,-0.01,-1.01,1.00
-0.32,-0.67,3.20,2.00
-0.06,-0.05,-2.84,1.00
-1.90,-2.61,9.45,2.00
-1.51,-1.38,-2.52,1.00
-0.34,-0.11,5.08,2.00
-0.13,-1.45,-3.48,1.00
0.01,-0.13,1.83,2.00
-0.86,-0.79,-4.22,1.00
0.38,0.07,3.67,2.00
-1.39,-1.39,-1.49,1.00
0.65,4.03,-2.62,1.00
-0.47,0.23,1.14,2.00
-1.13,-0.15,2.01,2.00
0.80,0.50,-2.03,1.00
0.30,0.04,-2.88,1.00
-0.54,-1.47,-2.32,1.00
-0.09,0.00,2.03,2.00
2.82,-1.33,-5.31,1.00
-0.38,-0.26,1.57,2.00
0.96,-1.07,-1.69,1.00
0.36,0.04,-4.39,1.00
-0.40,-0.39,-1.35,1.00
0.31,0.79,-1.98,1.00
2.89,3.56,-1.08,1.00
-1.08,-0.81,-1.10,1.00
-0.00,-0.22,1.71,2.00
0.36,0.28,-2.09,1.00
0.85,-0.25,-7.51,1.00
1.99,-0.18,-2.45,1.00
0.43,0.99,4.14,2.00
-0.12,-0.14,-0.63,1.00
-0.14,0.11,4.38,2.00
1.87,-2.97,1.60,2.00
0.15,0.13,-1.63,1.00
-1.02,0.81,1.86,2.00
0.17,0.71,1.49,2.00
2.77,0.79,3.89,2.00
-0.02,-0.04,-1.37,1.00
-1.63,3.99,2.43,2.00
0.89,-0.49,1.96,2.00
0.05,0.32,2.48,2.00
-0.21,-0.02,1.07,2.00
0.22,0.29,-1.11,1.00
0.46,0.70,2.95,2.00
-0.23,0.83,1.88,2.00
0.41,-1.52,-3.98,1.00
-0.33,1.52,-2.90,1.00
0.04,3.14,-3.06,1.00
-1.25,-0.72,2.04,2.00
-0.05,-0.05,0.78,2.00
-0.06,0.75,-2.49,1.00
-1.23,-1.88,7.43,2.00
0.07,-0.12,1.71,2.00
-0.50,0.62,1.78,2.00
-0.72,0.46,-4.66,1.00
0.34,0.00,-1.09,1.00
-0.09,-0.19,2.70,2.00
-0.47,-1.91,-0.78,1.00
1.17,0.60,-1.61,1.00
0.07,-0.60,-4.71,1.00
-2.03,-1.00,3.06,2.00
-0.01,1.66,-2.97,1.00
-0.03,0.01,-0.06,1.00
-0.41,0.43,2.66,2.00
0.40,0.11,1.24,2.00
0.22,-0.00,-0.54,1.00
0.91,-0.06,-2.43,1.00
0.30,1.01,-3.02,1.00
-0.18,-0.57,3.07,2.00
0.72,-1.27,-2.48,1.00
-0.01,0.01,-1.17,1.00
1.87,5.85,-2.18,1.00
-0.13,0.02,3.29,2.00
0.37,0.63,2.78,2.00
-0.10,-1.47,2.51,2.00
0.00,-0.01,3.06,2.00
-0.44,-0.06,-3.49,1.00
2.70,0.45,-4.17,1.00
1.09,-1.24,1.79,2.00
0.09,-0.20,2.35,2.00
-0.19,1.18,-3.59,1.00
-5.69,-0.79,3.47,2.00
-1.58,5.99,4.61,2.00
0.53,0.90,-2.51,1.00
-0.71,0.52,-2.46,1.00
0.02,0.30,-3.68,1.00
-0.45,1.01,4.87,2.00
0.33,-0.43,5.54,2.00
3.05,0.39,6.30,2.00
-0.02,-0.20,-0.48,1.00
-0.24,1.63,4.64,2.00
1.63,-3.38,3.20,2.00
-0.95,-1.36,-2.54,1.00
-0.04,-0.56,2.11,2.00
0.09,-0.21,2.14,2.00
2.88,2.57,5.00,2.00
-0.20,-0.16,-4.59,1.00
-0.15,-0.29,0.99,2.00
-0.38,-0.85,-1.31,1.00
0.90,2.05,-1.20,1.00
1.20,0.23,-2.00,1.00
0.42,2.13,1.63,2.00
0.09,-0.93,3.96,2.00
-0.08,-0.02,-1.91,1.00
-0.02,0.72,-2.39,1.00
0.99,-0.84,-5.42,1.00
0.94,-0.66,4.56,2.00
-0.02,-0.19,1.50,2.00
1.72,-3.28,-1.54,1.00
-0.90,2.31,0.63,2.00
3.14,2.48,-7.09,1.00
0.08,0.23,-1.05,1.00
0.83,0.89,4.02,2.00
-1.62,0.57,-2.12,1.00
-0.09,-0.04,-2.86,1.00
0.44,-0.64,1.45,2.00
-0.74,0.33,1.75,2.00
-4.14,0.36,2.01,2.00
-1.83,1.71,-2.85,1.00
0.43,-1.23,-2.57,1.00
0.07,1.55,4.15,2.00
0.34,0.28,2.06,2.00
-0.10,-0.39,0.96,2.00
0.22,-0.47,0.27,2.00
-0.62,1.05,-2.30,1.00
2.67,2.14,3.81,2.00
-0.10,-0.19,-1.34,1.00
-1.44,-2.08,2.04,2.00
-1.00,-1.98,-6.06,1.00
-0.41,1.90,1.81,2.00
-0.31,-0.20,7.72,2.00
0.28,-0.83,2.73,2.00
-0.47,0.10,-1.07,1.00
-2.06,2.31,4.13,2.00
0.79,-0.24,0.66,2.00
-0.12,0.22,2.41,2.00
0.54,0.72,-3.33,1.00
-1.54,3.82,1.58,2.00
2.71,0.15,-1.14,1.00
0.27,0.18,-1.49,1.00
-3.59,2.37,-1.56,1.00
-0.12,0.11,1.89,2.00
0.01,0.94,2.50,2.00
1.44,2.47,-3.75,1.00
0.25,-0.38,1.89,2.00
1.10,-0.76,-1.37,1.00
0.06,-0.14,0.73,2.00
0.61,0.27,2.74,2.00
0.53,0.95,0.58,2.00
-0.43,0.01,-0.83,1.00
-1.05,0.22,-1.43,1.00
-1.25,-0.81,1.93,2.00
-0.49,-0.44,-0.74,1.00
-0.87,0.09,-0.71,1.00
0.24,-0.16,1.22,2.00
0.02,0.29,1.99,2.00
0.13,0.10,3.22,2.00
-1.97,-2.78,4.96,2.00
0.15,-0.20,0.75,2.00
-1.77,-0.14,0.65,2.00
0.28,0.46,0.78,2.00
-0.53,-0.31,1.72,2.00
0.39,1.49,-1.59,1.00
-1.11,1.58,3.67,2.00
0.77,-1.02,3.48,2.00
-1.20,1.00,3.94,2.00
-0.10,-0.03,2.00,2.00
-0.64,0.58,2.37,2.00
-0.46,0.01,-2.51,1.00
0.01,-0.76,1.06,2.00
-0.74,0.35,1.33,2.00
1.17,1.34,-4.28,1.00
-0.64,0.97,3.10,2.00
0.04,0.52,-1.99,1.00
-0.29,-0.18,2.06,2.00
-2.55,-0.68,3.53,2.00
-0.27,0.46,1.09,2.00
-0.22,-0.31,0.98,2.00
0.00,-0.09,-1.57,1.00
0.32,0.08,-2.63,1.00
0.89,1.72,7.95,2.00
2.23,-2.55,1.33,2.00
1.32,-0.10,-0.78,1.00
0.14,-0.02,-1.99,1.00
-0.28,2.53,-3.37,1.00
-0.22,0.17,-1.24,1.00
-0.25,0.24,-1.61,1.00
0.89,-1.62,-5.15,1.00
-0.49,-0.02,-1.07,1.00
0.00,0.02,3.42,2.00
-0.78,-0.49,-1.88,1.00
1.20,1.91,-2.20,1.00
-0.30,0.33,-2.06,1.00
-0.61,0.16,1.36,2.00
-1.67,-1.37,5.02,2.00
0.28,0.45,-6.11,1.00
-0.00,-0.02,-3.19,1.00
-0.54,-0.72,4.92,2.00
-0.12,0.19,-3.23,1.00
-1.24,-0.02,5.00,2.00
-1.13,0.66,-1.62,1.00
0.01,0.76,-1.74,1.00
-1.99,3.15,2.33,2.00
0.17,-0.10,-0.28,1.00
-1.24,1.87,-2.88,1.00
-0.81,-0.67,3.40,2.00
-0.08,0.09,3.11,2.00
0.88,-0.76,1.75,2.00
0.33,-0.26,-1.40,1.00
0.15,0.21,-0.91,1.00
-0.61,-0.23,1.21,2.00
-1.80,-0.63,-4.74,1.00
0.35,-0.29,-4.58,1.00
1.82,-0.89,-1.07,1.00
0.71,-0.56,-2.49,1.00
-0.90,3.38,-7.07,1.00
-2.09,-1.31,-2.16,1.00
0.21,-0.76,2.13,2.00
1.56,-1.69,-1.44,1.00
0.56,-1.85,1.71,2.00
1.63,-2.50,2.17,2.00
0.73,-0.81,-2.81,1.00
-0.46,3.26,-3.82,1.00
0.21,0.58,-1.03,1.00
0.19,1.79,-2.24,1.00
0.21,-0.81,-2.91,1.00
-0.18,0.23,1.55,2.00
0.17,-0.03,-1.87,1.00
1.03,-1.24,3.54,2.00
-0.87,2.73,-3.66,1.00
0.12,0.49,2.81,2.00
0.32,-1.49,1.64,2.00
1.29,0.00,2.86,2.00
0.29,-0.52,1.84,2.00
-0.33,2.39,-2.08,1.00
-0.02,-0.14,-1.12,1.00
0.02,1.45,2.25,2.00
0.01,-0.07,-1.79,1.00
0.01,-0.72,0.84,2.00
0.47,-0.60,-0.73,1.00
-0.02,-0.19,-0.83,1.00
0.61,-1.69,4.32,2.00
0.05,1.10,1.37,2.00
0.78,-0.79,-1.94,1.00
0.60,-0.03,-3.02,1.00
0.47,-0.17,2.09,2.00
0.18,1.09,1.85,2.00
1.13,-0.03,-4.47,1.00
0.11,-0.69,0.97,2.00
-0.24,-0.36,3.84,2.00
0.95,-0.89,-1.56,1.00
-0.05,-0.11,-1.29,1.00
-0.28,-0.32,-0.77,1.00
-0.03,-0.03,0.65,2.00
0.18,-0.86,1.64,2.00
0.16,-0.41,-3.56,1.00
0.19,1.14,1.38,2.00
1.72,0.67,-2.88,1.00
1.15,-0.13,-6.72,1.00
0.83,-3.84,-3.34,1.00
-0.09,0.75,-1.37,1.00
0.16,-0.54,2.06,2.00
-0.98,0.52,3.96,2.00
-0.26,-2.95,-3.29,1.00
1.03,-1.34,3.35,2.00
-2.60,-2.56,2.56,2.00
-1.43,0.19,6.73,2.00
0.49,0.93,-1.13,1.00
-0.22,-0.69,2.75,2.00
-1.71,6.00,-3.26,1.00
1.27,0.56,3.76,2.00
-0.13,0.07,-2.32,1.00
-0.66,0.71,4.03,2.00
-0.96,1.31,1.53,2.00
-0.15,-0.93,2.98,2.00
0.04,-0.01,-5.56,1.00
0.32,0.17,-3.25,1.00
-1.02,-0.19,-1.55,1.00
1.57,0.63,-4.47,1.00
-1.35,-1.02,0.68,2.00
0.11,-0.04,-1.39,1.00
-0.52,0.39,3.74,2.00
-0.28,0.13,-2.02,1.00
0.62,0.35,-0.33,1.00
-0.92,3.11,5.81,2.00
4.13,1.58,-4.48,1.00
-0.30,-0.96,-1.67,1.00
-0.48,-0.87,5.91,2.00
-0.01,0.29,-3.01,1.00
-0.13,0.06,0.86,2.00
0.03,0.12,-1.13,1.00
-1.04,-0.17,-3.84,1.00
1.53,0.85,-4.92,1.00
-0.00,-0.72,-6.58,1.00
0.31,-0.67,1.21,2.00
-0.14,0.52,-2.66,1.00
-1.41,-0.71,-1.01,1.00
-2.26,-1.12,-2.69,1.00
1.15,0.65,-1.17,1.00
-0.03,-0.28,-5.64,1.00
-0.41,-0.07,1.70,2.00
0.25,0.02,1.56,2.00
-0.79,0.09,1.48,2.00
1.62,-2.05,3.22,2.00
0.42,-0.19,1.42,2.00
-1.26,0.54,1.12,2.00
-0.92,0.41,-2.20,1.00
-2.35,0.14,-2.03,1.00
-1.44,0.33,1.47,2.00
0.81,-0.54,3.47,2.00
-0.19,-1.85,0.71,2.00
-0.07,0.07,-4.64,1.00
-0.13,0.19,-3.92,1.00
0.22,0.09,-2.39,1.00
0.20,0.16,1.12,2.00
0.16,0.10,-1.13,1.00
0.24,2.00,-2.70,1.00
-0.00,0.01,-0.61,1.00
-0.08,-0.12,-4.28,1.00
-0.36,-0.21,2.56,2.00
-0.36,1.75,3.48,2.00
-0.71,1.00,1.34,2.00
-0.09,0.29,0.93,2.00
0.34,-0.43,-1.61,1.00
-0.01,0.59,-4.31,1.00
1.62,-4.01,-3.54,1.00
-0.19,-0.07,0.78,2.00
-0.43,-0.99,2.67,2.00
0.09,0.72,-2.47,1.00
0.43,-0.17,1.64,2.00
0.61,-0.46,-1.38,1.00
-0.51,-0.09,-2.03,1.00
-1.19,-1.19,-5.68,1.00
-0.66,0.14,-1.70,1.00
-0.19,0.14,5.29,2.00
1.57,0.10,5.17,2.00
1.78,1.02,-3.88,1.00
0.04,0.36,1.29,2.00
-0.91,0.54,3.34,2.00
0.18,0.70,-0.72,1.00
0.24,-0.86,1.86,2.00
0.10,0.05,-2.05,1.00
-1.32,0.17,1.83,2.00
-1.73,1.48,-4.66,1.00
-0.96,-1.40,1.99,2.00
-0.44,2.07,-3.31,1.00
-0.28,-0.50,-0.83,1.00
-0.03,0.19,-1.13,1.00
0.00,0.99,-1.55,1.00
-3.07,-1.85,2.42,2.00
-0.18,-0.09,-3.21,1.00
0.25,-0.33,0.86,2.00
-1.73,0.87,1.67,2.00
-2.86,2.39,5.20,2.00
-0.01,0.00,0.99,2.00
0.06,3.25,2.87,2.00
0.90,-0.75,-1.71,1.00
-0.41,-0.20,-3.58,1.00
0.95,-0.38,-1.69,1.00
0.35,0.10,-2.82,1.00
0.16,-0.33,-2.38,1.00
-2.01,-0.78,-3.62,1.00
-1.59,-1.23,1.05,2.00
1.51,-0.01,1.50,2.00
0.60,0.08,2.92,2.00
0.99,-2.21,3.12,2.00
-0.09,0.24,0.70,2.00
-0.26,1.69,-4.64,1.00
0.33,0.15,2.92,2.00
-1.48,1.21,3.85,2.00
0.55,-0.31,-3.01,1.00
0.15,0.12,-1.92,1.00
-0.96,-0.63,-4.43,1.00
-0.14,-0.01,2.00,2.00
2.84,-0.05,3.07,2.00
-0.00,0.13,2.32,2.00
2.18,-1.39,-2.82,1.00
3.18,1.19,-1.50,1.00
1.18,-0.08,-1.14,1.00
-0.67,0.62,4.54,2.00
-0.75,-1.05,-1.17,1.00
-0.84,-1.99,1.71,2.00
-1.25,1.07,3.52,2.00
-2.04,1.20,3.42,2.00
-0.32,-0.19,3.55,2.00
-0.15,0.02,-4.43,1.00
0.06,0.32,6.62,2.00
0.65,-0.63,0.63,2.00
-0.22,0.17,2.16,2.00
0.00,0.00,1.06,2.00
0.44,-0.40,-3.35,1.00
0.44,-1.31,-3.98,1.00
-0.84,1.74,-6.15,1.00
-0.09,-0.06,-3.48,1.00
0.25,0.01,-1.74,1.00
0.16,0.21,2.56,2.00
-1.27,-1.02,1.23,2.00
-0.36,-0.29,-1.85,1.00
2.13,0.22,-7.26,1.00
2.23,0.08,-4.03,1.00
-0.48,-0.68,2.05,2.00
0.31,0.86,0.63,2.00
-0.21,-0.50,1.42,2.00
3.28,-0.54,-3.79,1.00
-0.42,0.46,-3.60,1.00
-2.22,-2.23,-1.95,1.00
0.05,1.34,-2.76,1.00
0.08,-0.13,1.56,2.00
0.54,2.23,-1.80,1.00
0.74,0.64,1.02,2.00
-0.17,-0.28,1.54,2.00
0.45,0.16,3.61,2.00
-0.05,0.24,1.76,2.00
0.44,0.39,-2.07,1.00
-0.60,1.14,-2.43,1.00
-1.27,0.78,1.54,2.00
1.51,-2.50,4.03,2.00
1.52,0.48,-6.91,1.00
0.14,2.44,4.98,2.00
-0.09,-0.32,1.72,2.00
0.12,-0.05,0.27,2.00
-0.40,0.07,0.18,2.00
-0.41,0.07,1.76,2.00
-0.09,-1.05,4.56,2.00
-0.84,-0.74,3.31,2.00
-0.07,-0.16,-1.15,1.00
0.56,0.44,4.35,2.00
-0.15,0.03,6.23,2.00
0.14,0.03,-0.98,1.00
0.01,-0.74,-1.42,1.00
-1.38,-0.79,1.63,2.00
0.14,0.48,1.56,2.00
-0.43,2.60,2.83,2.00
0.46,0.55,2.91,2.00
0.35,-0.56,2.66,2.00
1.22,-0.01,6.89,2.00
-0.30,-0.65,0.80,2.00
-0.08,-0.09,-2.06,1.00
0.71,-4.14,-3.67,1.00
0.05,0.03,-2.05,1.00
-0.34,0.23,0.89,2.00
1.36,-0.22,-3.20,1.00
0.04,0.19,5.87,2.00
-0.05,-0.03,-1.27,1.00
0.20,1.05,-2.92,1.00
-0.14,0.34,-2.08,1.00
4.14,-0.28,3.14,2.00
-0.02,0.12,-0.97,1.00
-0.95,0.45,0.88,2.00
0.65,-0.09,-2.42,1.00
0.16,-0.23,0.50,2.00
-0.19,0.14,-3.07,1.00
-0.06,-0.02,2.00,2.00
1.10,-1.56,4.68,2.00
1.01,1.13,-3.01,1.00
0.69,-0.40,1.98,2.00
-1.52,-0.47,-4.47,1.00
-0.03,0.08,-1.74,1.00
-0.04,0.08,-1.85,1.00
-0.87,-0.20,-0.96,1.00
0.16,-0.19,-1.13,1.00
2.57,1.38,2.84,2.00
1.49,-0.74,1.92,2.00
0.84,0.82,-2.17,1.00
-0.02,0.03,1.40,2.00
-0.87,-0.39,-1.73,1.00
0.38,1.77,5.06,2.00
1.84,1.04,-0.55,1.00
0.82,1.05,-2.27,1.00
0.96,3.13,5.52,2.00
-0.18,-1.26,-2.71,1.00
-0.16,-0.51,1.88,2.00
-0.74,0.11,-2.67,1.00
-0.23,0.20,-3.64,1.00
-0.13,0.27,-5.88,1.00
-1.42,-1.19,-2.69,1.00
5.46,1.64,-3.36,1.00
-0.36,2.20,2.60,2.00
3.09,-3.06,-6.58,1.00
-1.45,-0.15,-1.95,1.00
0.34,-0.21,-1.91,1.00
-2.28,0.66,4.63,2.00
-0.07,-0.07,2.91,2.00
-0.40,0.18,1.67,2.00
0.52,-1.08,1.49,2.00
-0.87,0.75,-1.52,1.00
-1.53,-0.13,2.35,2.00
0.60,1.04,3.12,2.00
0.37,3.20,-5.04,1.00
2.85,-3.08,4.17,2.00
2.48,-1.20,3.70,2.00
0.78,-2.51,3.41,2.00
-0.32,1.30,-2.70,1.00
-0.83,-3.48,-1.63,1.00
0.37,0.72,-4.00,1.00
1.96,0.66,-1.92,1.00
0.83,0.20,4.75,2.00
0.52,-0.26,0.57,2.00
-0.24,-0.43,-3.82,1.00
0.34,-0.44,1.57,2.00
0.66,-0.15,0.59,2.00
1.14,-1.04,3.15,2.00
1.30,0.37,3.50,2.00
0.21,1.17,-3.72,1.00
-0.22,-0.27,0.48,2.00
0.62,2.22,-4.60,1.00
0.79,0.21,2.43,2.00
0.04,0.38,1.48,2.00
0.61,2.97,-2.76,1.00
-0.11,-0.88,3.10,2.00
0.15,0.42,1.19,2.00
-1.25,-0.09,6.06,2.00
-0.12,-0.03,-1.40,1.00
-0.02,-0.46,-1.98,1.00
1.06,0.29,1.07,2.00
1.77,-1.82,4.98,2.00
1.12,1.37,-1.55,1.00
-1.06,-0.34,1.23,2.00
-3.83,-0.91,3.40,2.00
1.39,-0.38,-3.10,1.00
-0.13,-0.65,1.68,2.00
-1.16,0.34,6.61,2.00
0.36,0.02,1.27,2.00
2.30,-0.93,3.52,2.00
-0.73,1.31,-1.13,1.00
-0.10,-0.41,-3.02,1.00
-0.07,-0.75,0.85,2.00
-0.80,-0.15,-2.77,1.00
0.09,1.09,-2.29,1.00
-0.11,0.41,-1.93,1.00
-0.09,-0.29,4.82,2.00
1.21,0.44,0.50,2.00
-1.77,0.22,-1.39,1.00
-0.09,-0.03,-1.33,1.00
-1.49,1.50,3.51,2.00
0.94,-0.60,-4.77,1.00
-0.02,-0.05,-1.61,1.00
-1.22,0.02,-1.97,1.00
-0.34,2.76,2.74,2.00
-0.19,-0.70,1.60,2.00
0.00,-0.24,1.10,2.00
1.36,0.99,-1.95,1.00
-0.98,0.64,2.75,2.00
0.51,-0.48,1.63,2.00
0.09,-0.67,1.73,2.00
0.75,1.00,-1.65,1.00
-1.81,0.41,1.75,2.00
-0.46,0.22,3.41,2.00
0.22,-0.69,1.97,2.00
1.02,-0.53,0.69,2.00
-0.25,0.24,2.03,2.00
-3.02,-0.50,-2.98,1.00
0.01,-0.10,5.01,2.00
0.76,0.58,-1.74,1.00
-0.16,-0.52,2.78,2.00
-0.20,-1.69,-2.71,1.00
-0.38,0.24,3.08,2.00
0.66,-0.00,-3.13,1.00
-0.36,-0.81,3.36,2.00
-0.69,-0.15,1.08,2.00
-0.98,-0.52,-1.20,1.00
0.15,-0.87,2.92,2.00
-0.16,0.14,2.70,2.00
2.92,1.36,4.79,2.00
-0.15,-0.34,0.97,2.00
0.19,0.50,1.56,2.00
-0.22,-1.89,2.39,2.00
-0.83,0.83,-2.83,1.00
1.67,-2.14,-1.77,1.00
1.65,-0.19,-2.40,1.00
-1.62,-0.54,-3.44,1.00
0.67,0.26,2.43,2.00
2.29,1.42,4.13,2.00
0.37,-0.97,5.93,2.00
0.30,0.08,3.87,2.00
5.05,-2.50,0.97,2.00
0.41,1.05,-5.10,1.00
1.04,2.87,1.02,2.00
-1.32,4.53,-2.56,1.00
0.01,-0.72,-1.12,1.00
-1.02,-0.45,3.71,2.00
-0.35,0.83,2.70,2.00
0.12,0.30,-1.11,1.00
2.36,-0.00,-2.37,1.00
1.29,0.96,1.31,2.00
-0.59,1.20,2.03,2.00
1.37,-0.03,2.00,2.00
0.25,-1.57,-2.73,1.00
-1.11,0.09,-4.34,1.00
-0.04,0.04,3.19,2.00
-0.35,-0.32,1.41,2.00
1.55,-2.34,4.73,2.00
-0.12,-0.30,-2.92,1.00
0.11,-0.34,-2.62,1.00
-0.97,-0.39,1.06,2.00
0.48,0.16,2.11,2.00
-0.48,-0.55,2.68,2.00
-0.41,0.44,0.72,2.00
-5.25,-0.82,-5.24,1.00
-0.68,0.12,-2.67,1.00
0.83,-1.45,2.13,2.00
-0.14,0.04,-3.67,1.00
0.13,-0.22,1.04,2.00
2.37,-0.46,3.93,2.00
-0.16,0.66,2.04,2.00
0.78,-1.21,2.80,2.00
0.08,0.43,0.81,2.00
-0.02,0.36,-0.55,1.00
0.40,-0.16,1.23,2.00
-0.68,0.86,-0.87,1.00
-1.15,-0.02,-6.81,1.00
2.15,-1.33,-0.98,1.00
-0.38,0.09,-3.55,1.00
-1.07,0.45,3.35,2.00
1.26,-0.32,-3.17,1.00
-0.09,-0.16,-2.63,1.00
0.33,-0.18,-1.42,1.00
0.52,-1.43,-1.91,1.00
-0.02,-0.01,1.82,2.00
-0.79,-0.49,-3.32,1.00
0.09,-0.04,2.38,2.00
0.44,-0.36,0.55,2.00
-0.91,-0.29,-1.65,1.00
0.34,-0.06,-0.86,1.00
-0.01,0.01,-3.00,1.00
-1.71,-0.86,1.57,2.00
-0.23,-0.04,0.81,2.00
0.74,-0.46,-1.34,1.00
0.50,-0.85,-0.74,1.00
-0.01,-0.03,1.32,2.00
-1.94,2.20,-0.98,1.00
-0.01,-0.10,-0.83,1.00
0.06,-0.02,4.46,2.00
-0.30,-0.27,2.87,2.00
1.28,1.76,-1.73,1.00
1.38,0.18,-1.62,1.00
-1.15,-0.07,1.16,2.00
-1.17,0.27,1.18,2.00
0.15,-0.10,1.95,2.00
-0.22,0.07,-2.03,1.00
1.69,-0.61,-0.84,1.00
0.72,0.22,2.72,2.00
-0.30,0.77,2.60,2.00
0.36,-1.23,2.82,2.00
-0.40,-0.08,1.44,2.00
3.07,-2.62,5.54,2.00
-0.39,-1.16,0.93,2.00
0.05,-0.02,3.14,2.00
-0.16,0.05,-1.11,1.00
1.22,-0.19,1.75,2.00
-2.02,4.26,4.65,2.00
-0.25,0.26,1.54,2.00
-1.96,4.74,6.15,2.00
0.00,-0.05,3.56,2.00
3.45,-0.01,3.65,2.00
-0.93,0.87,-1.10,1.00
0.57,0.29,1.50,2.00
0.34,-2.27,-4.33,1.00
0.05,-1.04,-2.07,1.00
-0.15,-0.32,0.77,2.00
-0.97,-0.92,4.67,2.00
-0.49,-0.07,1.48,2.00
-0.58,-1.15,2.78,2.00
1.60,0.15,4.14,2.00
-0.46,0.84,-1.84,1.00
-0.48,1.27,-0.31,1.00
-0.33,-0.62,-0.92,1.00
-0.51,0.03,1.02,2.00
-1.40,1.10,-1.06,1.00
-0.13,-1.31,-1.46,1.00
0.07,-0.04,-0.39,1.00
1.84,-4.43,-8.01,1.00
1.65,-1.33,-2.89,1.00
0.78,0.86,2.91,2.00
-0.03,-1.67,-1.69,1.00
-0.03,0.88,-2.41,1.00
-0.09,-0.68,-3.18,1.00
0.18,0.46,2.67,2.00
-0.02,0.01,-1.77,1.00
-0.42,0.09,0.70,2.00
-0.38,-0.07,-2.53,1.00
-0.52,0.29,-0.94,1.00
-0.10,0.04,1.45,2.00
-2.10,0.09,1.16,2.00
-0.57,-0.64,-2.53,1.00
0.33,0.43,-4.33,1.00
-0.62,2.15,-1.58,1.00
-0.48,0.21,1.45,2.00
0.99,-1.75,4.71,2.00
-0.20,0.08,4.39,2.00
-1.16,0.64,-2.56,1.00
0.47,-0.33,-3.09,1.00
-1.22,-0.68,1.71,2.00
0.52,-1.01,2.79,2.00
1.41,1.74,4.28,2.00
0.21,0.13,1.12,2.00
0.18,-0.22,-2.13,1.00
-0.90,0.71,2.93,2.00
-0.33,0.88,-3.18,1.00
-1.07,1.16,0.69,2.00
-0.68,-0.35,1.65,2.00
-0.15,-0.00,0.95,2.00
1.08,0.17,-0.63,1.00
-1.61,-0.96,3.81,2.00
-1.92,-2.89,3.18,2.00
-0.41,0.59,1.26,2.00
-1.42,1.56,-3.43,1.00
0.03,0.51,0.42,2.00
2.80,1.52,2.26,2.00
-0.92,-0.31,0.77,2.00
-0.04,-0.11,2.06,2.00
-1.74,6.26,3.45,2.00
-0.42,-0.97,3.62,2.00
0.19,-1.21,-2.49,1.00
0.61,-0.14,3.41,2.00
1.09,-0.31,-2.11,1.00
-0.71,-0.58,-0.79,1.00
-0.41,2.02,-3.57,1.00
1.08,1.32,0.50,2.00
0.74,-1.93,-4.01,1.00
0.97,-0.31,-3.32,1.00
1.53,-0.59,-3.30,1.00
1.62,-3.84,-4.04,1.00
-0.85,0.08,1.66,2.00
-0.53,0.87,-5.61,1.00
-0.33,-0.06,-0.13,1.00
0.68,0.49,0.49,2.00
-0.39,-0.15,2.15,2.00
0.03,0.28,-1.46,1.00
0.06,-2.25,3.10,2.00
0.80,-0.34,-1.57,1.00
0.66,-0.05,2.41,2.00
0.94,0.76,1.56,2.00
3.20,0.85,3.08,2.00
-1.04,-0.39,-2.91,1.00
0.01,0.72,3.41,2.00
-0.33,2.37,2.53,2.00
0.24,-0.16,-0.61,1.00
0.34,-0.76,0.11,2.00
0.14,-0.12,-1.60,1.00
-0.19,-0.07,-2.20,1.00
0.24,-0.87,1.96,2.00
-2.74,-0.43,-2.76,1.00
-0.28,-0.07,-1.67,1.00
-2.13,-1.28,4.03,2.00
0.12,0.05,-1.45,1.00
0.10,0.03,1.21,2.00
0.02,-0.50,1.23,2.00
-0.14,-0.87,1.08,2.00
-0.31,-0.10,-1.99,1.00
-0.08,1.68,-1.58,1.00
0.83,0.15,2.81,2.00
-0.15,0.15,0.52,2.00
0.11,-0.55,1.84,2.00
0.51,-0.17,-1.99,1.00
-0.00,-0.08,-1.38,1.00
0.88,-0.04,-1.97,1.00
0.02,-0.01,0.45,2.00
-0.65,-0.46,-2.80,1.00
0.15,1.38,2.29,2.00
0.49,0.88,-2.39,1.00
0.34,0.20,1.54,2.00
1.02,-0.67,-2.35,1.00
0.00,0.00,1.62,2.00
-0.15,0.56,1.78,2.00
-0.08,0.01,-3.05,1.00
0.02,0.00,-0.79,1.00
0.31,0.42,2.57,2.00
2.51,-0.81,3.61,2.00
0.05,-0.07,-0.56,1.00
0.04,-0.14,3.33,2.00
0.42,0.03,1.22,2.00
0.78,-0.40,2.51,2.00
0.12,-0.70,-1.91,1.00
0.03,-0.01,1.71,2.00
-3.47,1.92,1.58,2.00
-1.08,-3.57,2.01,2.00
0.82,-1.74,3.20,2.00
0.30,0.20,0.56,2.00
1.32,-0.75,2.23,2.00
-0.07,0.07,-4.87,1.00
0.02,1.14,2.14,2.00
-0.41,-2.36,-9.01,1.00
-0.79,0.58,4.82,2.00
-1.26,0.70,2.99,2.00
0.22,-0.06,1.28,2.00
1.67,1.41,2.17,2.00
1.32,-1.71,-4.44,1.00
-0.06,0.38,-1.78,1.00
